ticker,pdf_period,report_date,cash_and_equivalents,trade_receivables,inventories,current_assets,fixed_assets,total_assets,trade_payable,current_bank_loans,current_liabilities,longterm_bank_loans,total_liabilities,common_stocks,retained_earnings,total_equity,revenues,gross_profit,operating_profit,interest_finance_costs,ebt,tax,net_profit,net_profit_attributable,comprehensive_income,comprehensive_attributable,cfo,cfi,cff,net_change_cash,cash_end_period,current_ratio,dar,der,eps,per,book_value,pbv,roa,roe,gpm,opm,npm,dps,dpr,dividend_yield,listed_shares_million,market_cap_billion_idr,usd_rate_idr
KLBF,2023,Dec 2022,3949769.0,4613623.0,7027358.0,16710230.0,7956586.0,27241313.0,1996615.0,,4431038.0,287031.0,5143985.0,468751.0,20497739.0,5143985.0,28933503.0,11704066.0,4230702.0,55059.0,4458897.0,-1008813.0,3450083.0,3382210.0,3513672.0,3446013.0,1271889.0,-1370390.0,-2405754.0,-2504255.0,3949769.0,,0.19,0.23,72.14,28.97,471.0,3.43,12.66,15.61,40.45,14.62,11.92,35.0,48.52,2.17,46875.0,97969.0,15592.0
KLBF,2023,Jun 2023,2742601.0,5252550.0,7407806.0,16658840.0,7927153.0,27419567.0,2083743.0,,4979643.0,223393.0,5642938.0,468751.0,20269022.0,5642938.0,15178929.0,6175599.0,2027425.0,50058.0,1939412.0,-422744.0,1516667.0,1528997.0,1469521.0,1481851.0,535609.0,-495781.0,-1162455.0,-1122627.0,2742601.0,,0.21,0.26,72.6,28.24,465.0,4.5,5.53,6.96,40.69,13.36,9.99,38.0,52.34,1.82,46875.0,96094.0,15000.0
MAPI,2023,Dec 2019,1816661.0,407845.0,3615400.0,8160173.0,3784805.0,13937115.0,1757911.0,,5673585.0,,6566570.0,830000.0,3636664.0,6566570.0,21578745.0,10256117.0,1930758.0,481990.0,1625502.0,-461995.0,1163507.0,933493.0,1129365.0,903677.0,2372842.0,-799003.0,-1177188.0,396651.0,1816661.0,,0.47,0.89,49.46,21.33,444.0,1.81,8.35,15.79,47.53,8.95,5.39,10.0,20.22,1.24,16600.0,17513.0,13945.0
MAPI,2023,Dec 2020,2788102.0,341570.0,3715202.0,8165336.0,3364591.0,17650451.0,1621059.0,,7344835.0,,11151051.0,830000.0,2904751.0,11151051.0,14847398.0,6180944.0,-56863.0,205297.0,-723806.0,138502.0,-585304.0,-553716.0,-635262.0,-606095.0,1346711.0,-245050.0,-110743.0,990918.0,2788102.0,,0.63,1.72,-18.96,-41.67,392.0,2.69,-3.32,-9.01,41.63,-0.38,-3.94,0.0,0.0,0.0,16600.0,13114.0,14105.0
MAPI,2023,Dec 2021,2778415.0,404471.0,3731442.0,8213616.0,3034175.0,16783042.0,1756736.0,,6661498.0,,9687135.0,830000.0,3343664.0,9687135.0,18423803.0,7692462.0,1233951.0,,691608.0,-201452.0,490156.0,438913.0,583131.0,526941.0,3034919.0,-361931.0,-2680431.0,-7443.0,2778415.0,,0.58,1.37,-1.92,-370.24,427.0,1.85,2.92,6.91,41.75,6.7,2.66,0.0,0.0,0.0,16600.0,11786.0,14269.0
MAPI,2023,Dec 2022,3850844.0,689349.0,4698748.0,10737011.0,3290108.0,20968046.0,2385779.0,,7563881.0,,11240426.0,830000.0,5507622.0,11240426.0,26937340.0,12029265.0,3069543.0,,3172623.0,-667220.0,2505403.0,2109640.0,2568748.0,2171502.0,4094761.0,-641846.0,-2420316.0,1032599.0,3850844.0,,0.54,1.16,121.62,11.88,586.0,1.21,11.95,25.76,44.66,11.4,9.3,0.0,0.0,0.0,16600.0,23987.0,15592.0
MAPI,2023,Jun 2023,2980423.0,567784.0,6053306.0,11666912.0,3711617.0,22347330.0,2237434.0,,8005144.0,,11464066.0,830000.0,6419321.0,11464066.0,15594638.0,7072779.0,1733612.0,,1601363.0,-339293.0,1262070.0,1044016.0,1166032.0,947978.0,842527.0,-680767.0,-1007600.0,-845840.0,2980423.0,,0.51,1.05,116.33,14.53,656.0,2.2,5.65,11.6,45.35,11.12,8.09,8.0,6.88,0.55,16600.0,28054.0,15000.0
MDKA,2023,Dec 2019,691569.0,3274.0,2161515.0,2855373.0,4467091.0,13265225.0,464456.0,,3542986.0,1372199.0,5954638.0,483761.0,2120008.0,5954638.0,5606439.0,2167663.0,1886997.0,-273481.0,1512633.0,-546891.0,965742.0,987684.0,860694.0,991747.0,1720209.0,-2136565.0,912410.0,496055.0,691569.0,,0.45,0.81,41.49,25.79,334.0,10.48,7.28,13.21,38.66,33.66,17.23,0.0,0.0,0.0,21898.0,23430.0,13945.0
MDKA,2023,Dec 2020,719726.0,28963.0,2003058.0,2811249.0,4204169.0,13112102.0,284915.0,,2711227.0,560979.0,5161876.0,489311.0,2654879.0,5161876.0,4539848.0,1609682.0,1327308.0,-258564.0,792764.0,-385247.0,407517.0,510546.0,583037.0,686900.0,1692138.0,-986052.0,-688781.0,17305.0,719726.0,,0.39,0.65,41.23,58.94,363.0,2.95,3.11,5.13,35.46,29.24,8.98,0.0,0.0,0.0,21898.0,53211.0,14105.0
MDKA,2023,Dec 2021,2646479.0,8455.0,2718395.0,5869054.0,4512894.0,18244239.0,422494.0,,4241338.0,4844336.0,7122833.0,515286.0,3201410.0,7122833.0,5435869.0,1713665.0,1296122.0,-185465.0,809314.0,-332918.0,476396.0,515663.0,435986.0,476045.0,1896128.0,-3457527.0,3519398.0,1957999.0,2646479.0,,0.39,0.64,-1.79,-2172.88,486.0,5.0,2.61,4.28,31.53,23.84,8.76,0.0,0.0,0.0,22905.0,89100.0,14269.0
